transactionID,carrierID,customerID,amount,date
1,3,193,5.31,2008-12-17 11:32:31
2,3,693,9.78,2008-05-30 02:23:35
3,3,204,10.17,2007-07-30 23:04:34
4,3,695,5.39,2009-12-24 20:58:41
5,3,934,18.56,2005-08-26 19:30:46
6,1,536,5.32,2008-08-10 05:38:05
7,1,57,14.0,2006-12-28 13:23:49
8,3,131,10.82,2007-08-24 11:49:24
9,3,56,6.16,2005-04-22 12:17:36
10,1,98,15.09,2005-12-08 16:23:10
11,2,640,15.69,2009-09-20 19:59:41
12,2,99,5.12,2006-06-10 19:13:22
13,1,559,11.86,2008-02-25 09:31:29
14,1,783,9.35,2009-03-28 18:48:00
15,3,651,11.49,2007-01-21 03:45:38
16,3,440,15.93,2007-02-18 20:59:47
17,1,407,16.18,2005-12-14 23:14:37
18,3,326,11.5,2005-02-13 08:37:48
19,3,514,10.84,2005-05-17 17:29:30
20,1,853,8.09,2009-08-30 15:04:23
21,1,87,16.24,2005-03-12 09:00:07
22,3,259,14.48,2008-08-30 04:53:23
23,3,978,5.34,2009-04-12 12:54:15
24,1,335,19.78,2005-12-01 15:19:17
25,3,556,19.73,2006-07-29 19:06:07
26,3,848,19.95,2006-10-07 08:46:34
27,2,220,18.2,2005-08-19 01:06:19
28,3,519,10.48,2008-08-14 14:38:19
29,1,46,19.74,2007-12-12 07:31:13
30,3,502,19.7,2006-07-15 05:20:33
31,1,98,10.56,2008-07-20 08:51:05
32,2,470,18.39,2005-11-16 07:01:45
33,1,771,16.6,2009-04-23 23:58:59
34,1,634,15.36,2006-10-04 13:29:33
35,1,754,14.71,2008-11-09 22:51:37
36,2,522,18.02,2008-07-27 17:33:47
37,1,16,9.24,2007-11-19 07:37:27
38,1,971,9.98,2007-03-23 22:05:56
39,2,145,8.15,2005-05-18 02:10:55
40,2,642,17.04,2009-05-22 12:02:16
41,2,622,17.02,2007-01-21 04:06:25
42,3,754,11.99,2006-03-24 14:19:32
43,1,711,14.86,2006-03-09 02:52:54
44,3,799,13.62,2009-11-30 21:22:14
45,1,876,16.6,2007-12-20 04:30:12
46,3,39,5.3,2005-08-01 13:51:50
47,2,597,10.28,2008-02-12 09:59:00
48,2,131,11.31,2009-10-03 12:10:31
49,3,189,7.27,2006-11-07 03:58:55
50,3,290,16.07,2006-10-09 03:56:45
51,1,539,19.01,2009-11-22 13:29:42
52,1,288,15.34,2006-11-30 08:29:56
53,3,743,7.96,2009-08-07 07:03:07
54,1,533,5.55,2007-01-13 03:34:42
55,1,728,17.88,2006-03-10 04:55:07
56,1,464,19.54,2008-10-22 04:34:48
57,2,171,16.26,2005-08-06 16:02:49
58,1,115,15.8,2005-08-22 21:50:54
59,2,158,19.06,2009-02-14 21:41:17
60,3,322,9.51,2006-12-19 20:24:37
61,1,935,15.56,2005-03-12 00:00:19
62,2,394,7.34,2007-04-02 13:02:57
63,3,889,10.25,2006-02-24 10:21:11
64,3,337,11.02,2008-08-13 16:53:46
65,1,327,9.85,2007-09-29 15:42:06
66,3,471,14.68,2009-05-21 11:33:43
67,3,279,6.69,2007-08-31 17:49:59
68,3,612,16.82,2005-03-17 23:37:02
69,2,302,9.63,2007-02-08 11:57:54
70,3,860,19.53,2006-06-18 09:30:21
71,1,999,16.23,2007-03-04 05:37:44
72,1,377,7.2,2009-03-21 05:11:23
73,2,404,10.37,2009-12-01 01:30:20
74,2,72,10.83,2005-08-30 17:11:17
75,1,663,7.79,2007-12-09 04:13:00
76,1,826,15.58,2006-10-28 21:25:35
77,2,414,10.42,2008-01-14 10:01:33
78,1,140,19.08,2008-10-11 12:23:09
79,2,84,10.7,2005-10-31 18:24:23
80,1,580,8.35,2006-09-01 05:13:24
81,3,601,14.43,2006-07-14 20:30:01
82,1,377,12.21,2006-07-23 23:27:53
83,1,355,8.85,2005-07-22 19:24:27
84,2,302,7.9,2009-07-30 11:32:21
85,3,936,10.13,2007-04-04 05:46:13
86,1,772,18.06,2008-06-11 07:38:15
87,3,65,17.88,2008-04-16 13:02:24
88,3,663,17.02,2006-05-14 14:34:31
89,3,723,15.61,2009-12-20 19:16:56
90,3,148,19.21,2007-07-28 04:01:42
91,3,610,5.63,2006-03-27 21:42:07
92,3,785,6.12,2005-07-16 18:08:36
93,3,41,15.05,2007-03-13 04:16:10
94,3,567,11.18,2008-05-01 22:02:09
95,2,694,10.37,2007-01-31 09:01:44
96,2,506,17.72,2007-05-29 07:52:26
97,1,127,17.75,2007-04-23 02:17:31
98,1,197,9.15,2005-04-24 06:51:17
99,1,715,6.9,2009-07-05 18:24:16
100,1,731,14.03,2006-10-15 09:08:34
101,3,482,15.47,2008-06-05 21:17:46
102,1,71,9.02,2005-06-29 01:08:08
103,1,526,8.96,2007-06-16 20:38:17
104,2,384,13.9,2008-06-02 11:14:15
105,2,373,13.71,2007-01-12 18:10:29
106,1,148,12.12,2009-09-02 02:52:51
107,2,983,7.17,2008-01-29 09:50:23
108,2,766,10.66,2006-12-22 21:20:18
109,1,927,6.75,2007-01-12 15:46:34
110,2,364,6.92,2007-04-17 08:10:19
111,2,375,14.33,2008-05-04 05:23:59
112,1,949,13.62,2007-09-15 20:13:19
113,3,754,18.42,2005-01-20 02:26:29
114,2,456,5.28,2006-07-07 17:19:05
